date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:18	32/32	------	200	untouched ('OK')	text/plain	etag:%2220-4d22e2cee83c0%22	http://www.babelstone.co.uk/robots.txt		(from )
12:47:18	2139452/2139452	------	200	untouched ('OK')	text/html	etag:%2220a53c-575dafc9cad40%22	http://www.babelstone.co.uk/Fonts/PUA.html	www.babelstone.co.uk/Fonts/PUA.html	(from )
12:47:26	38969/38969	------	200	untouched ('OK')	text/html	etag:%229839-574ff1f1c8ac0%22	http://www.babelstone.co.uk/Fonts/Han.html	www.babelstone.co.uk/Fonts/Han.html	(from http://www.babelstone.co.uk/Fonts/PUA.html)
12:47:26	323144/323144	------	200	untouched ('')	image/png	etag:%224ee48-55f898f4e87c0%22	http://www.babelstone.co.uk/Fonts/Evidence/U_EF9F.png	www.babelstone.co.uk/Fonts/Evidence/U_EF9F.png	(from http://www.babelstone.co.uk/Fonts/PUA.html)
12:47:26	22877/22877	------	200	untouched ('OK')	text/html	etag:%22595d-57468b5331d40%22	http://www.babelstone.co.uk/Fonts/PUA_1_09.html	www.babelstone.co.uk/Fonts/PUA_1_09.html	(from http://www.babelstone.co.uk/Fonts/PUA.html)
12:47:26	12549/12549	------	200	untouched ('')	text/plain	etag:%223105-552e35c691e40%22	http://www.babelstone.co.uk/Fonts/PUA_U10_REMOVED.TXT	www.babelstone.co.uk/Fonts/PUA_U10_REMOVED.TXT	(from http://www.babelstone.co.uk/Fonts/PUA.html)
12:47:26	3996536/3996536	------	200	untouched ('')	application/font-sfnt	etag:%223cfb78-574ff1d808e00%22	http://www.babelstone.co.uk/Fonts/Download/BabelStoneHanPUA.ttf	www.babelstone.co.uk/Fonts/Download/BabelStoneHanPUA.ttf	(from http://www.babelstone.co.uk/Fonts/PUA.html)
12:47:26	1665748/1665748	------	200	untouched ('')	font/woff	etag:%22196ad4-574ff176c2880%22	http://www.babelstone.co.uk/Fonts/WOFF/BabelStoneHanPUA.woff	www.babelstone.co.uk/Fonts/WOFF/BabelStoneHanPUA.woff	(from http://www.babelstone.co.uk/Fonts/PUA.html)
12:47:26	937568/937568	------	200	untouched ('OK')	text/html	etag:%22e4e60-574ff1799ef40%22	http://www.babelstone.co.uk/Fonts/WOFF/BabelStoneHanPUA.woff2	www.babelstone.co.uk/Fonts/WOFF/BabelStoneHanPUA.html	(from http://www.babelstone.co.uk/Fonts/PUA.html)
12:47:26	14771969/14771969	------	200	untouched ('')	application/zip	etag:%22e16701-56e2b03fb4040%22	http://www.babelstone.co.uk/Fonts/Download/BabelStoneHan.zip	www.babelstone.co.uk/Fonts/Download/BabelStoneHan.zip	(from http://www.babelstone.co.uk/Fonts/PUA.html)
12:47:26	36737800/36737800	------	200	untouched ('')	application/font-sfnt	etag:%222309308-56e2b0b9c6040%22	http://www.babelstone.co.uk/Fonts/Download/BabelStoneHan.ttf	www.babelstone.co.uk/Fonts/Download/BabelStoneHan.ttf	(from http://www.babelstone.co.uk/Fonts/PUA.html)
12:47:26	14082204/14082204	------	200	untouched ('')	font/woff	etag:%22d6e09c-56e2af1904900%22	http://www.babelstone.co.uk/Fonts/WOFF/BabelStoneHan.woff	www.babelstone.co.uk/Fonts/WOFF/BabelStoneHan.woff	(from http://www.babelstone.co.uk/Fonts/PUA.html)
12:47:26	5361756/5361756	------	200	untouched ('OK')	text/html	etag:%2251d05c-56e2af33b8800%22	http://www.babelstone.co.uk/Fonts/WOFF/BabelStoneHan.woff2	www.babelstone.co.uk/Fonts/WOFF/BabelStoneHan.html	(from http://www.babelstone.co.uk/Fonts/PUA.html)
12:47:27	40551/40551	------	200	untouched ('OK')	text/html	etag:%229e67-576d84cbcac00%22	http://www.babelstone.co.uk/Fonts/index.html	www.babelstone.co.uk/Fonts/index.html	(from http://www.babelstone.co.uk/Fonts/PUA.html)
12:47:27	212/212	------	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Oct%202018%2010:52:15%20GMT	http://www.babelstone.co.uk/Fonts/han.html	www.babelstone.co.uk/Fonts/han-2.html	(from http://www.babelstone.co.uk/Fonts/PUA_1_09.html)
12:47:27	1459/1459	---M--	200	added ('OK')	image/png	etag:%225b3-5650d224cec00%22	http://www.babelstone.co.uk/Fonts/Images/sample_runic_staveless_ruled.png	www.babelstone.co.uk/Fonts/Images/sample_runic_staveless_ruled.png	(from http://www.babelstone.co.uk/Fonts/index.html)
12:47:27	5402/5402	------	200	untouched ('OK')	text/html	etag:%22151a-56944cec0fcc0%22	http://www.babelstone.co.uk/Fonts/Roman.html	www.babelstone.co.uk/Fonts/Roman.html	(from http://www.babelstone.co.uk/Fonts/index.html)
12:47:28	2191/2191	------	200	untouched ('')	image/png	etag:%2288f-50e8b2e9f7b40%22	http://www.babelstone.co.uk/Fonts/Images/sample_roman.png	www.babelstone.co.uk/Fonts/Images/sample_roman.png	(from http://www.babelstone.co.uk/Fonts/index.html)
12:47:28	32207/32207	------	200	untouched ('OK')	text/html	etag:%227dcf-56944ce74b180%22	http://www.babelstone.co.uk/Fonts/Centaurian.html	www.babelstone.co.uk/Fonts/Centaurian.html	(from http://www.babelstone.co.uk/Fonts/index.html)
12:47:28	792/792	------	200	untouched ('')	image/png	etag:%22318-4df71eb21c500%22	http://www.babelstone.co.uk/Fonts/Images/sample_centaurian.png	www.babelstone.co.uk/Fonts/Images/sample_centaurian.png	(from http://www.babelstone.co.uk/Fonts/index.html)
12:47:28	42087/42087	------	200	untouched ('OK')	text/html	etag:%22a467-56944ce562d00%22	http://www.babelstone.co.uk/Fonts/Goblin.html	www.babelstone.co.uk/Fonts/Goblin.html	(from http://www.babelstone.co.uk/Fonts/index.html)
12:47:28	1750/1750	------	200	untouched ('')	image/png	etag:%226d6-4df71eb404980%22	http://www.babelstone.co.uk/Fonts/Images/sample_goblin.png	www.babelstone.co.uk/Fonts/Images/sample_goblin.png	(from http://www.babelstone.co.uk/Fonts/index.html)
12:47:28	10006/10006	---M--	200	added ('OK')	text/html	etag:%222716-56944cec0fcc0%22	http://www.babelstone.co.uk/Fonts/DottedRunes.html	www.babelstone.co.uk/Fonts/DottedRunes.html	(from http://www.babelstone.co.uk/Fonts/index.html)
12:47:28	1485/1485	------	200	untouched ('')	image/png	etag:%225cd-4df71eb310740%22	http://www.babelstone.co.uk/Fonts/Images/sample_goblin_vertical.png	www.babelstone.co.uk/Fonts/Images/sample_goblin_vertical.png	(from http://www.babelstone.co.uk/Fonts/index.html)
